SEQDAY,FCOUNT_NLDN,FCOUNT_STRUCTURE,FCOUNT_HAIL,FCOUNT_TVS,FIPS
1987-03-02,0,NULL,NULL,NULL,12057
1987-03-03,0,NULL,NULL,NULL,12057
1987-03-04,0,NULL,NULL,NULL,12057
1987-03-05,0,NULL,NULL,NULL,12057
1987-03-06,0,NULL,NULL,NULL,12057
1987-03-07,2,NULL,NULL,NULL,12057
1987-03-08,0,NULL,NULL,NULL,12057
1987-03-09,0,NULL,NULL,NULL,12057
1987-03-10,0,NULL,NULL,NULL,12057
1987-03-11,0,NULL,NULL,NULL,12057
1987-03-12,0,NULL,NULL,NULL,12057
1987-03-13,0,NULL,NULL,NULL,12057
1987-03-14,0,NULL,NULL,NULL,12057
1987-03-15,0,NULL,NULL,NULL,12057
1987-03-16,0,NULL,NULL,NULL,12057
1987-03-17,0,NULL,NULL,NULL,12057
1987-03-18,0,NULL,NULL,NULL,12057
1987-03-19,0,NULL,NULL,NULL,12057
1987-03-20,0,NULL,NULL,NULL,12057
1987-03-21,0,NULL,NULL,NULL,12057
1987-03-22,0,NULL,NULL,NULL,12057
1987-03-23,0,NULL,NULL,NULL,12057
1987-03-24,0,NULL,NULL,NULL,12057
1987-03-25,1,NULL,NULL,NULL,12057
1987-03-26,84,NULL,NULL,NULL,12057
1987-03-27,95,NULL,NULL,NULL,12057
1987-03-28,5,NULL,NULL,NULL,12057
1987-03-29,86,NULL,NULL,NULL,12057
1987-03-30,94,NULL,NULL,NULL,12057
1987-03-31,2,NULL,NULL,NULL,12057
1987-04-01,0,NULL,NULL,NULL,12057
1987-04-02,0,NULL,NULL,NULL,12057
1987-04-03,0,NULL,NULL,NULL,12057
1987-04-04,0,NULL,NULL,NULL,12057
1987-04-05,0,NULL,NULL,NULL,12057
1987-04-06,0,NULL,NULL,NULL,12057
1987-04-07,0,NULL,NULL,NULL,12057
1987-04-08,0,NULL,NULL,NULL,12057
1987-04-09,0,NULL,NULL,NULL,12057
1987-04-10,0,NULL,NULL,NULL,12057
1987-04-11,0,NULL,NULL,NULL,12057
1987-04-12,0,NULL,NULL,NULL,12057
1987-04-13,0,NULL,NULL,NULL,12057
1987-04-14,0,NULL,NULL,NULL,12057
1987-04-15,24,NULL,NULL,NULL,12057
1987-04-16,0,NULL,NULL,NULL,12057
1987-04-17,0,NULL,NULL,NULL,12057
1987-04-18,0,NULL,NULL,NULL,12057
1987-04-19,0,NULL,NULL,NULL,12057
1987-04-20,0,NULL,NULL,NULL,12057
1987-04-21,0,NULL,NULL,NULL,12057
1987-04-22,0,NULL,NULL,NULL,12057
1987-04-23,0,NULL,NULL,NULL,12057
1987-04-24,0,NULL,NULL,NULL,12057
1987-04-25,0,NULL,NULL,NULL,12057
1987-04-26,0,NULL,NULL,NULL,12057
1987-04-27,0,NULL,NULL,NULL,12057
1987-04-28,0,NULL,NULL,NULL,12057
1987-04-29,0,NULL,NULL,NULL,12057
1987-04-30,0,NULL,NULL,NULL,12057
1987-05-01,0,NULL,NULL,NULL,12057
1987-05-02,0,NULL,NULL,NULL,12057
1987-05-03,0,NULL,NULL,NULL,12057
1987-05-04,4,NULL,NULL,NULL,12057
1987-05-05,357,NULL,NULL,NULL,12057
1987-05-06,0,NULL,NULL,NULL,12057
1987-05-07,58,NULL,NULL,NULL,12057
1987-05-08,0,NULL,NULL,NULL,12057
1987-05-09,1,NULL,NULL,NULL,12057
1987-05-10,50,NULL,NULL,NULL,12057
1987-05-11,118,NULL,NULL,NULL,12057
1987-05-12,85,NULL,NULL,NULL,12057
1987-05-13,396,NULL,NULL,NULL,12057
1987-05-14,184,NULL,NULL,NULL,12057
1987-05-15,526,NULL,NULL,NULL,12057
